class,text
negative,"RT @cjwallace03: So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. W ..."
negative,"RT @Jewelz2611 @mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp.."
negative,"@mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp.."
negative,"THiS IS WHAT WiLL KiLL APPLE http://t.co/72Jw4z5c RiP @APPLE"
negative,"@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5"
negative,"@apple needs to hurry up and release #iTunesMatch"
negative,"Why is #Siri always down @apple"
negative,"I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple"
negative,"@apple AirDrop #fail - Immediate declined your request. every time"
negative,"good article about why @apple fucked it all up with lion and their future. http://t.co/zNDP9Vr6 #fb"
negative,"RT @radlerc: Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s"
negative,"Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s"
negative,"The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss"
negative,"Asked siri is she dreams of electric sleep. Was disappointed that she didn't have a snippy answer. Missed opportunity @apple"
negative,"@paulens It surprises me that @Apple throws up an error alert about authorizing, and there's no Authorize this computer button."
negative,"@Lisa_Marie1987 shhhh. the evil sith lords @apple may hear you ha!"
negative,"FUCK YOU @apple DIE IN A FUCKING BLAZE INFERNO."
negative,"Oh, @apple. Steve obviously had nothing to do with iPhoto, as it's the perfect opposite of 'insanely great'. Get it fixed, please."
negative,"OMG @apple WHY THE FUCK DID YOU DELETE ALL MY MUSIC YOU DICKS"
negative,"@ryanbaldwin @apple So in iTunes I go Store -&gt; Authorise… why doesn't it just auto-authorise it when I sign into iTunes? Grrrr..."
negative,"Seriously - I have absolutely no offing clue what @Apple means by authorization, nor how to do it."
negative,"Boy, could @apple make it any harder to put my purchased music from the cloud on to my new macbook pro? You must authorize this computer…"
negative,"shit, shit, shit. IOS5 update ate all my apps, data and media just like @apple said it would. This is going to take some time to rebuild."
negative,". @apple & @AT&T u cannot tell me there isn't at least 1 64GB iPhone 4S in LA or Vegas!! Give me a fucking break!!!!"
negative,"Love @apple downloads. 4 hours and i-pad now wonky! #ripstevejobs #thenonsensepersists #neednewipadguide #fatfuckingchance"
negative,"Dear @apple My new Air is now a notbook since your update killed #wifi #bug #destroying #productivity"
negative,"I am so done with @Att and @apple 's profitering and lack of customer service, so fucking down with both!!!"
negative,"It would be great If @Apple would send my new phone. #frustrated"
negative,"@apple thank you for ruining my 3GS with #iOS5. You've just turned my phone into an utterly useless pile of shit."
negative,"@rogerweir no but I have the option of a replacement iPhone 4s ? Not sure if I want one after having 2 duff iPhones. @O2 @iphone4s @apple"
negative,"So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?"
negative,"You know @apple It's been almost a week since I paid for iTunes Match, I would really like to use it. Any ETA on a fix?"
negative,"removing all @apple shit."
negative,"So @PhoenixSwinger 's iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple"
negative,"What??? I that sucks hello @apple RT @PhoneDog_Aaron Interesting note - DROID RAZR's battery isn't removable."
negative,"@Apple can't send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em"
negative,"Gotta say the @Apple itouch iphone shuffle etc.. sound quality is AWFUL.. painfully crap. Its been a downgrade from @Sony sound quality wise"
negative,"@bisquiat @Apple the upgrade just slows down my phone so much, it's stuck half the time. uch. thankfully no other damage. sucks for you :("
negative,"@Mayati I think @Apple didn't do such a thorough job with the step x steps for upgrade and move to iCloud. Now it's cost me mightily."
negative,"Hey @apple now I have iOS5 my iPhone doesn't include songs that are on compilation albums under the artist's name. #whaddupwitdat"
negative,"@NickTheFNicon He can send but not rcve txts so he has an apt @apple at 4pm.Then he exclaims: And I waited a whole YEAR for this phone!!LMAO"
negative,"Total chaos at @apple store regent street. Like an Ethiopian feeding station. Can't believe this is same co. that makes all that cool shit."
negative,"@FishMama: If you made a purchase, just wait for the @apple survey! hate going b/c of the bad #custserv"
negative,"Correction: @ Best Buy kudos to Chris @ Alamo Ranch S.A. TX-fixed issues couldn't resolve after 1/2 day w/ @ATT & @Apple. Hero of my day!"
negative,"@phxguy88 @Apple @BGR That's why all the ppl who stand in line for hrs to get the newest model are suckers..."
negative,"Would it kill @apple to put a braille type bump on their earbuds so we know which bud is R and L in the dark."
negative,"@APPLE Wow @MOTOROLA Just crushed your dreams...."
negative,"RT @phxguy88: Oh, just fuck you, @apple. Already?? ---&gt; iPhone 5 on schedule for summer launch? http://t.co/Ofh9PTaG via @BGR"
negative,"Oh, just fuck you, @apple. Already?? ---&gt; iPhone 5 on schedule for summer launch? http://t.co/Ofh9PTaG via @BGR"
negative,"@apple, No, I won't wait until thursday for an available appointment just so a 'genius' can tell me I'm shit out of luck. #now"
negative,"WTF?!?! @apple the new iOS 5 doesn't allow you NOT to get push notifications from newstand? and SIRI just keeps yapping FUCK!"
negative,"@Apple, on the #iPad with #iOS5, why has the Messages Icon been included when it can't be used?"
negative,"@Steelo254 yea! I pre-order through @apple and they sorry too just like #AT&T"
